	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
visi	(5G) Grafik-SW	(5G)	Grafik-SW								Solide CNC Fähigkeiten, selber programmieren können, nicht nur bedienen!!! Idealerweise in der Kombination mit CAD (Visi).
visio	(5G) Grafik-SW	(5G)	Grafik-SW	Visualisierungsprogramm							NA
xpress	(5G) Grafik-SW	(5G)	Grafik-SW								idealerweise Kenntnisse in InDesign, XPress, Photoshop, PDF, Bildformaten oder Web-Technologien
zeichenprogramm	(5G) Grafik-SW	(5G)	Grafik-SW								NA
adob bridge	(5G) Grafik-SW	(5G)	Grafik-SW								* Photoshop und Adobe Bridge - Kenntnisse
adobe-applikation	(5G) Grafik-SW	(5G)	Grafik-SW								Microsoft Office und Adobe-Applikationen, gut aus.
adobe-programm	(5G) Grafik-SW	(5G)	Grafik-SW								Umfassende Erfahrung in den Adobe-Programmen InDesign sowie Illustrator
bildeditor	(5G) Grafik-SW	(5G)	Grafik-SW								InDesign), Bildeditoren und MS Office.
deskpack	(5G) Grafik-SW	(5G)	Grafik-SW								DeskPack, ArtPro und Packedge Kenntnisse von Vorteil
grafikanwendung	(5G) Grafik-SW	(5G)	Grafik-SW								Erfahrungen im Umgang mit Grafikanwendungen wie Photoshop, Indesign
grafikprogramme	(5G) Grafik-SW	(5G)	Grafik-SW								Erfahrungen im Umgang mit Grafikprogrammen zur Webseitengestaltung
grafikverarbeitungsprogramm	(5G) Grafik-SW	(5G)	Grafik-SW								Kenntnisse im Umgang mit Grafikverarbeitungsprogrammen
ilustrator	(5G) Grafik-SW	(5G)	Grafik-SW								Outlook, MS-Office, eventuell Photoshop und Ilustrator
layout-programme	(5G) Grafik-SW	(5G)	Grafik-SW								fundierte Kenntnisse in den gängigen EDV- und Layout-Programmen (MS-Office, AUTOCAD)
layoutentwicklungswerkzeug	(5G) Grafik-SW	(5G)	Grafik-SW								Umgang mit Schaltplan- und Layoutentwicklungswerkzeugen
layouttool	(5G) Grafik-SW	(5G)	Grafik-SW								Nach Möglichkeit Erfahrung im Umgang mit Layouttools
photo shop	(5G) Grafik-SW	(5G)	Grafik-SW								Sie sollten zwingend Erfahrung im Umgang mit dem Computerprogramm Auto Cad und Photo Shop haben und selbstständig arbeiten können.    Sie sollten zwingend Erfahrung im Umgang mit dem Computerprogramm Auto Cad und Photo Shop haben und selbstständig arbeiten können.
powerdesigner	(5G) Grafik-SW	(5G)	Grafik-SW								Sicherer Umgang mit den Werkzeugen Powerdesigner und TOAD
raw-konverter	(5G) Grafik-SW	(5G)	Grafik-SW								Kenntnisse im RAW-Konverter Capture one pro oder Capture one 4x4,  Kenntnisse im RAW-Konverter Capture one pro oder Capture one 4x4,
simulat	(5G) Grafik-SW	(5G)	Grafik-SW								Ingenieur, Techniker der Meister mit mehrjähriger und einschlägiger Erfahrung mit der Simulationssoftware Robcad, Process Simulate und Designer im Karosseriebau mit fundierten Kenntnissen der gültigen Simulationsrichtlinien und Methodik
simulationsprogramm	(5G) Grafik-SW	(5G)	Grafik-SW								Vorteilhaft: Programmiersprachen (VBasic), Simulationsprogramme und Pro-E
sketchup	(5G) Grafik-SW	(5G)	Grafik-SW								Wir arbeiten mit Dataflor Business, den MS-Office-Produkten, CAD und Sketchup.
vray	(5G) Grafik-SW	(5G)	Grafik-SW								Sie beherrschen den sicheren Umgang mit 3D Studio MAX oder VIZ (Kenntnisse in Vray sind von Vorteil)
bürokommunikations-software	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								Gute Kenntnisse in Bürokommunikations-Software (MS-Office)
chat	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
citadel	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
groupware	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								Kenntnisse in Groupware Microsoft Exchange Server
groupwaresystem	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
wikis	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
wikisoftware	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								sicherer Umgang mit MS Office, Datenbanken (Wikisoftware)
xfire	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								Fundierte Kenntnisse von Frameworks wie Struts, Spring und XFire
abas	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie entwickeln, konstruieren und verwalten Erzeugnisse aus den Bereichen Ventile, Regler und Regler für Drücke von 0,3 bis 80 bar, 1/8 bis 2,5", Temperaturen von -50 bis +200°C unterstützt durch CAD (AutoCad Inventor) und ERP (ABAS).
amadeus/toma	(5E) Branchen-SW	(5E)	Branchen-SW	vertriebssoftware							Gute PC- und Internetkenntnisse, Kenntnisse in Amadeus/TOMA wünschenswert
applus	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Programmierung neuer Module für das ERP-System (APplus) in enger Zusammenarbeit mit den Fachbereichen
atlas	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Zollsoftwar ua							NA
ax	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie sind für die Weiter- und Neuentwicklung unserer vorhanden grafischen Module auf Basis von MS Dynamics AX und .NET verantwortlich.
axapter	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
baan	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
babtec	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Zudem können Sie Kenntnisse im Bereich der Q-Planung vorweisen und haben Erfahrung im Umgang mit einem CAQ-System (Babtec).
beosys	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Erfahrungen im Umgang mit BEOSYS
betriebsdatenerfassungssystem beosys	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
centro-faktura	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
crm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Alternativ können Sie tiefgreifende Erfahrungen in mindestens einem der Bereiche Branchensoftware, Warenwirtschaft, CRM oder ERP nachweisen.    Pflege der internen Systeme (Kalender, CRM, Zeiterfassung, Serviceberichte)    Pflege der internen Systeme (Kalender, CRM, Zeiterfassung, Serviceberichte)    Kenntnisse im CRM Produkt- und Vertriebsumfeld, idealerweise mit der Lösung update seven    Zur Stärkung der PR-Division wir ab sofort einen erfahrenen PR-Berater (m/w) gesucht für Betreuung der Kunden im Bereich Business Software (BI, HR, ERP, CRM), inklusive der entsprechenden Textarbeiten und Redaktionskontakten.
crm-kv	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie sind routiniert im Umgang mit dem PC und bringen gute Kenntnisse in CRM-KV und ISKV mit.
crm-software	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in CRM-Software, Lexware und Regiograph wünschenswert
crm-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
crm-systeme	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in SAP sowie CRM-Systemen wünschenswert
crs-systemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								gute Kenntnisse in CRS-Systemen, amadeus, TOMA
dynpros	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Technische Kenntnisse in ABAP-OO, Dynpros, Dialog und Schnittstellenprogrammierung
e-commerce-anwendung	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
e-commerce-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
eprogesa	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Software für Blutbanken, um die Blutkonserven verfolgen zu können etc.							NA
erp	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
erp/crm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Aufbauend auf harmonisierten Stammdaten und einer durchgängigen Prozesslandkarte streben wir ein zentral geführtes IT-System (ERP/CRM) auf Basis SAP mit Anbindung an die technischen Subsysteme unserer Produktionsgesellschaften an.
erp/pps	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								gute Kenntnisse in ERP/PPS
erp-programm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Anwenderkenntnisse in MS-Office sowie Erfahrung im ERP-Programm INFOR
erp-software	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in MS-Office und ERP-Software
erpsystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								konnten im Anschluss mehrjährige Erfahrung im Umgang mit ERPSystemen
erp-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
erp-systemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sehr gute Kenntnisse in MS Office, ERP-Systemen, KANBAN    MS-Office, der sichere Umgang mit ERP-Systemen sowie ein teamfähiges, zielorientiertes Auftreten runden Ihr Profil ab.
erp-systsem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sehr gute EDV-Kenntnisse (Excel, Datenbanken und ERP-Systseme)
erp-sytemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Kenntnisse in ERP-Sytemen (SAP oder Navision)
etka	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Elektronischer Teilekatalog des VW-Konzerns							vorzugsweise Beherrschung der Systeme (Care, ETKA, WPS)
factfinder	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Kenntnisse in FactFinder, Visual Basic, Adobe Scene 7 und SEO
hr/pi/fi/crm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Fachwissen im Umgang und Support von SAP Systemen (HR/PI/FI/CRM)
infor	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Teamfähigkeit und der sichere Umgang mit den gängigen MS-Office-Tools sowie ERP-Systemen wie infor und SAP runden Ihr Profil ab.    Kenntnisse in Infor
informatica	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
lagersoftware	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								In den unterschiedlichen Bereichen benötigen Sie den Staplerpass und Kenntnisse im Umgang mit Lagersoftware (z. B. SAP).
lagerverwaltungssoftware	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
lagerverwaltungssystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								erste Erfahrungen im Umgang mit Lagerverwaltungssystemen von Vorteil (nicht zwingend)
lagerwirtschaftsprogramm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse im Umgang mit Lagerwirtschaftsprogrammen
lagerwirtschaftssystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrung im Umgang mit Lagerwirtschaftssystemen
lean-tools	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Umfangreiche Kenntnisse in Lean-Tools
lern-managementsystemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Die TIME for kids Informationstechnologien GmbH, gegründet im Jahre 2001, berät Bildungsinstitutionen hinsichtlich der Ausstattung der Schulen mit IT-Infrastruktur, digitalen Lern-Managementsystemen, Bildungsinhalten und Software.
mis	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
ms dynamics nav	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
msdynamic	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Kenntnisse in MSDynamics NAV und SAP
nav	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Kenntnisse in MSDynamics NAV und SAP
navision	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
navison	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie sind versierter Anwender der gängigen MS-Office-Programme sowie der ERP-Systeme (Navison bzw. KUMAvision)
navisphere	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Switche, Navisphere und Unisphere Manager
ncts	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								// Sie haben eine erfolgreiche Ausbildung zum Speditionskaufmann/-frau absolviert und verfügen über erste Berufserfahrungen in den Bereichen Seefracht Export und/oder Luftfracht Import / Erfahrungen im Bereich Zoll/Atlas und NCTS Verfahren / Sicherer Umgang mit MS Office Produkten / gute Englischkenntnisse in Wort und Schrift / Teamfähigkeit / Kommunikationsstärke / hohe Leistungsbereitschaft / Eigenverantwortung / Belastbarkeit / Flexibilität / selbstständige Arbeitsweise
opentext	(5L) content-management-Systeme/ Redaktionssysteme (dtp, Dokumentenmanagement)	(5L)	content-management-Systeme/ Redaktionssysteme (dtp, Dokumentenmanagement)								Gute Kenntnisse des CMS (Opentext), HTML sowie Photoshop
otrs	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
panel-software	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
pps	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
pps/erp-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Kenntnisse in der Nutzung eines PPS/ERP-Systems und MS-Office
pps-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
proalpha	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrung im Umgang mit ERP-Systemen (proAlpha wünschenswert), sowie in den Modulen Materialwirtschaft
q-managementsystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrungen in Q-Managementsystemen (ISO 9000, VDA 6.1, QS 9000), insbesondere APQP, PPAP, SPC, FMEA u. 8D-Methode
qm-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in QM-Systemen
qualitätsmanagementsystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse im Qualitätsmanagementsystem
qualitätssicherungsprogramme	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in Terminologieverwaltungsmodule, Qualitätssicherungsprogrammen und Projektmanagement Anwendungen
reporting-tool	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sicherer Umgang mit IT Systemen und Software (ERP, Office-Software, Reporting-Tools, Internetprogramme)
six sigma	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
start/amadeus	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
START/AMADEUS	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
start/amadeus/merlin	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in Start/Amadeus/Merlin
teamcent	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Kenntnisse in Teamcenter und E²
transporeon	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	logistik software (cloudbaisert)							NA
warenwirtschaftsprogammen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
warenwirtschaftsprogramm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrung im Umgang mit Warenwirtschaftsprogrammen    Erfahrungen im Umgang mit einem Warenwirtschaftsprogramm sind von Vorteil
warenwirtschaftsprogrammen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in Warenwirtschaftsprogrammen von Vorteil
warenwirtschaftssystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Anwendungssichere PC-Kenntnisse (MS-Office), idealerweise Erfahrung im Umgang mit Warenwirtschaftssystemen    Erfahrung im Umgang mit Warenwirtschaftssystemen    Einen sicheren Umgang mit Warenwirtschaftssystemen und den MS-Office-Produkten sowie die Bereitschaft kinospezifische Software zu erlernen    Sie haben Vorkenntnisse aus dem Einzel- oder Großhandel oder eine kaufmännische Ausbildung und verfügen über Kenntnisse in den Bereichen Warenwirtschaftssysteme, Datenbanken und Controlling.    Erfahrung im Umgang mit Warenwirtschaftssystemen und MS-Office    Kenntnisse im Warenwirtschaftssystem Navision wünschenswert    Sicherer Umgang mit MS-Office, Warenwirtschaftssystemen und Internet
